HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Time
0;2;4,95;0;2;0;0;0;0;0,02
0;2;4,95;0;2;0;0;0;0;0,04
0;2;4,95;0;2;0;0;0;0;0,373
0;2;4,95;0;2;0;0;0;0;0,408
0;2;4,95;0;2;0;0;0;0;0,445
-0,017;1,948;4,95;0;2;0;0,005;-0,002;0;0,46
-0,138;1,662;4,95;0;2;0;0,034;-0,014;0;0,47
-0,173;1,584;4,95;0;2;0;0,042;-0,017;0,001;0,476
-0,216;1,497;4,95;0;2;0;0,051;-0,022;0,001;0,48
-0,259;1,4;4,95;0;2;0;0,06;-0,026;0,002;0,488
-0,294;1,303;4,95;0;2;0;0,07;-0,03;0,002;0,492
-0,294;1,303;4,95;0;2;0;0,07;-0,03;0,002;0,496
-0,337;1,205;4,95;0;2;0;0,079;-0,034;0,003;0,501
-0,372;1,125;4,95;0;2;0;0,087;-0,037;0,003;0,505
-0,372;1,125;4,95;0;2;0;0,087;-0,037;0,003;0,51
-0,407;1,062;4,95;0;2;0;0,093;-0,041;0,004;0,513
-0,407;1,062;4,95;0;2;0;0,093;-0,041;0,004;0,518
-0,433;0,998;4,95;0;2;0;0,099;-0,043;0,004;0,521
-0,433;0,998;4,95;0;2;0;0,099;-0,043;0,004;0,527
-0,468;0,943;4,95;0;2;0;0,104;-0,047;0,005;0,531
-0,494;0,888;4,95;0;2;0;0,11;-0,049;0,005;0,535
-0,494;0,888;4,95;0;2;0;0,11;-0,049;0,005;0,541
-0,52;0,851;4,95;0;2;0;0,113;-0,052;0,006;0,546
-0,555;0,823;4,95;0;2;0;0,116;-0,055;0,006;0,55
-0,555;0,823;4,95;0;2;0;0,116;-0,055;0,006;0,555
-0,59;0,794;4,95;0;2;0;0,118;-0,059;0,007;0,561
-0,617;0,766;4,95;0;2;0;0,121;-0,061;0,007;0,565
-0,617;0,766;4,95;0;2;0;0,121;-0,061;0,007;0,57
-0,643;0,746;4,95;0;2;0;0,122;-0,064;0,008;0,576
-0,669;0,717;4,95;0;2;0;0,125;-0,067;0,008;0,58
-0,704;0,707;4,95;0;2;0;0,126;-0,07;0,009;0,585
-0,704;0,707;4,95;0;2;0;0,126;-0,07;0,009;0,589
-0,731;0,687;4,95;0;2;0;0,128;-0,073;0,009;0,594
-0,731;0,687;4,95;0;2;0;0,128;-0,073;0,009;0,599
-0,757;0,658;4,95;0;2;0;0,13;-0,075;0,01;0,604
-0,793;0,638;4,95;0;2;0;0,132;-0,079;0,01;0,608
-0,793;0,638;4,95;0;2;0;0,132;-0,079;0,01;0,612
-0,828;0,608;4,95;0;2;0;0,134;-0,082;0,011;0,616
-0,828;0,608;4,95;0;2;0;0,134;-0,082;0,011;0,62
-0,855;0,579;4,95;0;2;0;0,137;-0,085;0,012;0,624
-0,855;0,579;4,95;0;2;0;0,137;-0,085;0,012;0,628
-0,891;0,539;4,95;0;2;0;0,14;-0,088;0,013;0,631
-0,891;0,539;4,95;0;2;0;0,14;-0,088;0,013;0,635
-0,935;0,508;4,95;0;2;0;0,143;-0,092;0,013;0,64
-0,971;0,487;4,95;0;2;0;0,145;-0,096;0,014;0,643
-0,971;0,487;4,95;0;2;0;0,145;-0,096;0,014;0,649
-1,016;0,455;4,95;0;2;0;0,147;-0,1;0,015;0,653
-1,016;0,455;4,95;0;2;0;0,147;-0,1;0,015;0,657
-1,052;0,433;4,95;0;2;0;0,149;-0,103;0,016;0,661
-1,052;0,433;4,95;0;2;0;0,149;-0,103;0,016;0,665
-1,088;0,412;4,95;0;2;0;0,15;-0,107;0,016;0,67
-1,116;0,4;4,95;0;2;0;0,151;-0,109;0,017;0,673
-1,116;0,4;4,95;0;2;0;0,151;-0,109;0,017;0,677
-1,143;0,379;4,95;0;2;0;0,153;-0,112;0,017;0,681
-1,143;0,379;4,95;0;2;0;0,153;-0,112;0,017;0,687
-1,17;0,377;4,95;0;2;0;0,153;-0,114;0,018;0,692
-1,188;0,375;4,95;0;2;0;0,153;-0,116;0,018;0,696
-1,188;0,375;4,95;0;2;0;0,153;-0,116;0,018;0,7
-1,216;0,373;4,95;0;2;0;0,153;-0,119;0,018;0,704
-1,216;0,373;4,95;0;2;0;0,153;-0,119;0,018;0,708
-1,234;0,372;4,95;0;2;0;0,153;-0,12;0,019;0,712
-1,234;0,372;4,95;0;2;0;0,153;-0,12;0,019;0,716
-1,253;0,38;4,95;0;2;0;0,152;-0,122;0,019;0,72
-1,271;0,398;4,95;0;2;0;0,15;-0,124;0,019;0,729
-1,289;0,407;4,95;0;2;0;0,149;-0,126;0,019;0,733
-1,289;0,407;4,95;0;2;0;0,149;-0,126;0,019;0,737
-1,299;0,416;4,95;0;2;0;0,148;-0,126;0,019;0,741
-1,308;0,435;4,95;0;2;0;0,147;-0,127;0,019;0,746
-1,308;0,435;4,95;0;2;0;0,147;-0,127;0,019;0,75
-1,317;0,454;4,95;0;2;0;0,145;-0,128;0,019;0,754
-1,317;0,454;4,95;0;2;0;0,145;-0,128;0,019;0,758
-1,326;0,472;4,95;0;2;0;0,143;-0,129;0,019;0,762
-1,326;0,472;4,95;0;2;0;0,143;-0,129;0,019;0,767
-1,345;0,49;4,95;0;2;0;0,141;-0,131;0,019;0,772
-1,345;0,519;4,95;0;2;0;0,139;-0,131;0,019;0,776
-1,345;0,519;4,95;0;2;0;0,139;-0,131;0,019;0,78
-1,345;0,529;4,95;0;2;0;0,138;-0,131;0,018;0,784
-1,354;0,548;4,95;0;2;0;0,136;-0,132;0,018;0,788
-1,354;0,548;4,95;0;2;0;0,136;-0,132;0,018;0,792
-1,354;0,577;4,95;0;2;0;0,134;-0,132;0,018;0,796
-1,354;0,577;4,95;0;2;0;0,134;-0,132;0,018;0,8
-1,354;0,596;4,95;0;2;0;0,132;-0,132;0,018;0,804
-1,354;0,596;4,95;0;2;0;0,132;-0,132;0,018;0,808
-1,354;0,625;4,95;0;2;0;0,129;-0,132;0,017;0,811
-1,354;0,625;4,95;0;2;0;0,129;-0,132;0,017;0,816
-1,345;0,654;4,95;0;2;0;0,127;-0,131;0,017;0,82
-1,345;0,654;4,95;0;2;0;0,127;-0,131;0,017;0,824
-1,326;0,703;4,95;0;2;0;0,123;-0,13;0,016;0,829
-1,308;0,752;4,95;0;2;0;0,118;-0,128;0,015;0,833
-1,308;0,752;4,95;0;2;0;0,118;-0,128;0,015;0,837
-1,289;0,81;4,95;0;2;0;0,113;-0,126;0,014;0,84
-1,289;0,81;4,95;0;2;0;0,113;-0,126;0,014;0,845
-1,262;0,868;4,95;0;2;0;0,108;-0,124;0,014;0,849
-1,262;0,868;4,95;0;2;0;0,108;-0,124;0,014;0,853
-1,234;0,925;4,95;0;2;0;0,103;-0,121;0,013;0,856
-1,234;0,925;4,95;0;2;0;0,103;-0,121;0,013;0,86
-1,198;1,001;4,95;0;2;0;0,096;-0,118;0,011;0,864
-1,198;1,001;4,95;0;2;0;0,096;-0,118;0,011;0,869
-1,152;1,086;4,95;0;2;0;0,088;-0,114;0,01;0,873
-1,106;1,16;4,95;0;2;0;0,081;-0,109;0,009;0,877
-1,106;1,16;4,95;0;2;0;0,081;-0,109;0,009;0,88
-1,043;1,244;4,95;0;2;0;0,074;-0,103;0,008;0,885
-1,043;1,244;4,95;0;2;0;0,074;-0,103;0,008;0,889
-0,98;1,336;4,95;0;2;0;0,065;-0,097;0,006;0,893
-0,98;1,336;4,95;0;2;0;0,065;-0,097;0,006;0,897
-0,9;1,418;4,95;0;2;0;0,057;-0,09;0,005;0,901
-0,9;1,418;4,95;0;2;0;0,057;-0,09;0,005;0,906
-0,811;1,508;4,95;0;2;0;0,049;-0,081;0,004;0,91
-0,713;1,589;4,95;0;2;0;0,041;-0,071;0,003;0,914
-0,713;1,589;4,95;0;2;0;0,041;-0,071;0,003;0,918
-0,617;1,669;4,95;0;2;0;0,033;-0,062;0,002;0,922
-0,617;1,669;4,95;0;2;0;0,033;-0,062;0,002;0,928
-0,538;1,748;4,95;0;2;0;0,025;-0,054;0,001;0,932
-0,433;1,826;4,95;0;2;0;0,017;-0,044;0,001;0,936
-0,433;1,826;4,95;0;2;0;0,017;-0,044;0,001;0,941
-0,346;1,887;4,95;0;2;0;0,011;-0,035;0;0,948
-0,259;1,939;4,95;0;2;0;0,006;-0,026;0;0,953
-0,164;1,991;4,95;0;2;0;0,001;-0,017;0;0,968
0,035;2,078;4,95;0;2;0;-0,008;0,003;0;0,986
0,225;2,164;4,95;0;2;0;-0,017;0,023;0;0,99
0,329;2,199;4,95;0;2;0;-0,02;0,033;0,001;0,994
0,329;2,199;4,95;0;2;0;-0,02;0,033;0,001;0,999
0,433;2,243;4,95;0;2;0;-0,024;0,044;0,001;1,003
0,433;2,243;4,95;0;2;0;-0,024;0,044;0,001;1,007
0,555;2,278;4,95;0;2;0;-0,028;0,056;0,002;1,011
0,555;2,278;4,95;0;2;0;-0,028;0,056;0,002;1,015
0,652;2,314;4,95;0;2;0;-0,031;0,065;0,002;1,018
0,652;2,314;4,95;0;2;0;-0,031;0,065;0,002;1,021
0,74;2,332;4,95;0;2;0;-0,033;0,074;0,002;1,03
0,828;2,36;4,95;0;2;0;-0,036;0,083;0,003;1,033
0,828;2,36;4,95;0;2;0;-0,036;0,083;0,003;1,037
