HitX;HitY;HitZ;Px;Py;Pz;Rx;Ry;Rz;Rw;Time
0;0;0;0;1;-10;0;0;0;1;0,02
0;0;0;0;1,08;-10;0;0;0;1;0,04
0;0;0;0;1,08;-10;0;0;0;1;0,3733333
-0,057;0;-7,3;0;1,08;-10;0,1890851;-0,01028286;0,001980167;0,9819049;0,4166373
-0,051;0;-8,532;0;1,08;-10;0,3117347;-0,01658247;0,00544135;0,9500089;0,4360593
-0,046;0;-8,959;0;1,08;-10;0,3908142;-0,02034673;0,008641334;0,9202042;0,4420268
-0,042;0;-9,172;0;1,08;-10;0,4420033;-0,02260985;0,0111454;0,8966592;0,4478936
-0,039;0;-9,294;0;1,08;-10;0,4753525;-0,02399423;0,01297029;0,8793725;0,4540961
-0,036;0;-9,369;0;1,08;-10;0,4972122;-0,02485765;0,01425295;0,8671557;0,4620022
-0,035;0;-9,416;0;1,08;-10;0,5116113;-0,02540561;0,01513646;0,858708;0,4684153
-0,033;0;-9,447;0;1,08;-10;0,521131;-0,02575828;0,01573779;0,8529428;0,4758636
-0,033;0;-9,467;0;1,08;-10;0,5274413;-0,02598767;0,01614407;0,8490405;0,47988
-0,032;0;-9,48;0;1,08;-10;0,5316319;-0,02613802;0,01641729;0,8464129;0,4846041
-0,032;0;-9,489;0;1,08;-10;0,5344184;-0,02623711;0,01660048;0,8446497;0,4932149
-0,032;0;-9,495;0;1,08;-10;0,5362728;-0,02630265;0,01672308;0,8434691;0,5107292
-0,031;0;-9,499;0;1,08;-10;0,5375077;-0,02634611;0,01680501;0,8426797;0,5148094
-0,031;0;-9,501;0;1,08;-10;0,5383302;-0,02637499;0,01685972;0,8421524;0,5228038
-0,031;0;-9,503;0;1,08;-10;0,5388783;-0,0263942;0,01689623;0,8418005;0,5316077
-0,031;0;-9,504;0;1,08;-10;0,5392435;-0,02640698;0,01692059;0,8415657;0,5376394
-0,031;0;-9,505;0;1,08;-10;0,539487;-0,02641549;0,01693684;0,8414091;0,5438288
-0,031;0;-9,506;0;1,08;-10;0,5396492;-0,02642116;0,01694768;0,8413047;0,5473142
-0,031;0;-9,506;0;1,08;-10;0,5397574;-0,02642494;0,01695491;0,841235;0,5523916
-0,031;0;-9,506;0;1,08;-10;0,5398294;-0,02642746;0,01695972;0,8411885;0,5620344
-0,031;0;-9,506;0;1,08;-10;0,5398775;-0,02642914;0,01696293;0,8411576;0,56558
-0,031;0;-9,506;0;1,08;-10;0,5399097;-0,02643025;0,01696507;0,8411369;0,5720487
-0,031;0;-9,506;0;1,08;-10;0,539931;-0,026431;0,0169665;0,8411232;0,5795169
-0,031;0;-9,506;0;1,08;-10;0,5399453;-0,0264315;0,01696746;0,8411139;0,5828097
-0,031;0;-9,506;0;1,08;-10;0,5399547;-0,02643183;0,01696809;0,8411078;0,5903131
-0,031;0;-9,506;0;1,08;-10;0,539961;-0,02643205;0,01696851;0,8411037;0,5958346
-0,031;0;-9,506;0;1,08;-10;0,5399653;-0,0264322;0,01696879;0,8411011;0,5996806
-0,031;0;-9,506;0;1,08;-10;0,5399681;-0,0264323;0,01696898;0,8410992;0,6089818
-0,031;0;-9,507;0;1,08;-10;0,53997;-0,02643236;0,01696911;0,841098;0,614589
-0,031;0;-9,507;0;1,08;-10;0,5399712;-0,02643241;0,01696919;0,8410972;0,6221813
-0,031;0;-9,507;0;1,08;-10;0,5399721;-0,02643243;0,01696925;0,8410967;0,6290939
-0,031;0;-9,507;0;1,08;-10;0,5399726;-0,02643245;0,01696928;0,8410963;0,6338145
-0,031;0;-9,507;0;1,08;-10;0,539973;-0,02643247;0,01696931;0,841096;0,639815
-0,031;0;-9,507;0;1,08;-10;0,5399733;-0,02643248;0,01696933;0,8410959;0,6446834
-0,031;0;-9,507;0;1,08;-10;0,5399734;-0,02643248;0,01696933;0,8410959;0,6634502
-0,031;0;-9,507;0;1,08;-10;0,5399735;-0,02643249;0,01696934;0,8410957;0,6685195
-0,031;0;-9,507;0;1,08;-10;0,5399736;-0,02643249;0,01696935;0,8410957;0,6762992
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,02643249;0,01696935;0,8410956;0,6835612
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,02643249;0,01696935;0,8410956;0,6906269
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,696392
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7009007
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7077488
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7138684
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7199459
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7266637
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7336911
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7400155
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7454335
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7512209
-0,031;0;-9,507;0;1,08;-10;0,5399737;-0,0264325;0,01696936;0,8410956;0,7578584
